t (s) : 08/29/2023 07:03:25,I1 (uA),I2 (uA),I3 (uA),I4 (uA),I5 (uA),I6 (uA),I7 (uA),I8 (uA),V1 (V),V2 (V),V3 (V),V4 (V),V5 (V),V6 (V),V7 (V),V8 (V)
17724.587891,0.165749,3360.000244,-0.080705,-0.088024,0.165582,0.333595,0.0,0.0,3.292672,27.200001,3.298461,3.296774,3.29336,3.293454,0.000805,0.0
17724.6875,0.085211,2688.0,-0.242138,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,19.200001,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17724.787109,0.085211,2144.0,-0.161409,-0.168657,0.165582,0.3335,0.080544,0.0,3.292672,17.6,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17724.886719,0.165749,-10880.0,-0.161409,-0.007319,0.165582,0.253034,0.080544,0.0,3.292672,-76.800003,3.297654,3.296774,3.29336,3.292649,0.000805,0.0
17724.986328,0.165749,3200.0,-0.242138,-0.168657,0.085139,0.253034,0.0,0.0,3.292672,28.799999,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17725.085938,0.165749,1344.0,-0.161409,-0.168657,0.165582,0.253034,0.080544,0.0,3.292672,16.0,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17725.185547,0.165749,3136.0,-0.080705,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,25.6,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17725.285156,0.165749,2400.0,-0.242138,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,20.799999,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17725.384766,0.085211,2496.0,-0.242138,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,12.8,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17725.484375,0.165749,2496.0,-0.242138,-0.007319,0.085139,0.253034,0.0,0.0,3.292672,19.200001,3.297654,3.296774,3.29336,3.292649,0.000805,0.0
17725.583984,0.165749,3104.0,-0.161409,-0.007319,0.165582,0.414062,0.080544,0.0,3.292672,27.200001,3.297654,3.296774,3.29336,3.293454,0.000805,0.0
17725.683594,0.165749,3391.999756,-0.161409,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,25.6,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17725.783203,0.165749,1632.0,-0.242138,-0.087953,0.165582,0.172472,0.0,-0.080665,3.292672,11.2,3.297654,3.295968,3.29336,3.291843,0.0,0.0
17725.882812,0.085211,2464.0,-0.242138,-0.168657,0.165582,0.3335,0.0,0.0,3.292672,24.0,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17725.982422,0.165749,1056.0,-0.161409,-0.168657,0.165582,0.253034,0.080544,0.0,3.292672,11.2,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17726.082031,0.085163,1664.0,-0.161409,-0.168657,0.085139,0.3335,0.0,0.0,3.291866,12.8,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17726.181641,0.165749,2944.0,-0.161409,-0.168657,0.165582,0.253034,0.080544,0.0,3.292672,25.6,3.297654,3.295968,3.29336,3.292649,0.001611,0.0
17726.28125,0.085211,2560.0,-0.161409,-0.168657,0.165606,0.253034,0.0,0.0,3.292672,12.8,3.297654,3.295968,3.294165,3.292649,0.0,0.0
17726.380859,0.085211,2976.0,-0.161409,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,24.0,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17726.480469,0.165749,-2720.0,-0.161409,-0.088024,0.165582,0.253034,0.0,0.0,3.292672,-20.799999,3.297654,3.296774,3.29336,3.292649,0.000805,0.0
17726.580078,0.165796,-1632.0,-0.242138,-0.088024,0.085163,0.253129,0.0,-2e-05,3.293478,-8.0,3.297654,3.296774,3.294165,3.293454,0.0,-0.000807
17726.679688,0.085211,2688.0,-0.242138,-0.168657,0.085139,0.253034,0.0,0.0,3.292672,22.4,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17726.779297,0.165749,-544.0,-0.161409,-0.168657,0.246048,0.253034,0.0,0.0,3.292672,-4.8,3.297654,3.295968,3.294165,3.292649,0.000805,0.0
17726.878906,0.165749,-5600.0,-0.242138,-0.088024,0.085139,0.253034,0.0,0.0,3.292672,-40.0,3.297654,3.296774,3.29336,3.292649,0.000805,0.0
17726.978516,0.165749,-2496.0,-0.161409,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,-19.200001,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17727.078125,0.004625,1760.0,-0.161409,-0.088024,0.165582,0.253034,0.080544,0.0,3.291866,17.6,3.297654,3.296774,3.29336,3.292649,0.000805,0.0
17727.177734,0.165749,2240.000244,-0.242138,-0.087953,0.165606,0.3335,0.080544,0.0,3.292672,19.200001,3.297654,3.295968,3.294165,3.292649,0.000805,0.0
17727.277344,0.085211,1824.0,-0.242138,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,17.6,3.297654,3.295968,3.29336,3.292649,0.0,0.0
17727.376953,0.085163,-1920.000122,-0.322843,-0.087953,0.165582,0.253034,0.0,0.0,3.291866,-12.8,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17727.476562,0.165749,-2048.0,-0.242138,-0.168657,0.165606,0.253034,0.080544,0.0,3.292672,-12.8,3.297654,3.295968,3.294165,3.292649,0.000805,0.0
17727.576172,0.165749,2368.0,-0.161409,-0.088024,0.165582,0.3335,0.080544,0.0,3.292672,19.200001,3.297654,3.296774,3.29336,3.292649,0.000805,0.0
17727.675781,0.165749,1024.000122,-0.161409,-0.087953,0.165582,0.253034,0.0,0.0,3.292672,9.6,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17727.775391,0.165749,-10240.0,-0.161409,-0.088024,0.165582,0.253034,0.0,0.0,3.292672,-70.400002,3.297654,3.296774,3.29336,3.292649,0.000805,0.0
17727.875,0.165749,-256.0,-0.242138,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,0.0,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17727.974609,0.085211,1440.0,-0.161409,-0.087953,0.165582,0.253034,0.0,0.0,3.292672,14.4,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17728.074219,0.165749,-544.0,-0.161409,-0.168657,0.165582,0.253034,0.080544,0.0,3.292672,-1.6,3.297654,3.295968,3.29336,3.292649,0.001611,0.0
17728.173828,0.165749,-4096.0,-0.242138,-0.168657,0.165582,0.253034,0.0,0.0,3.292672,-25.6,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
17728.273438,0.165749,2464.0,-0.161409,-0.087953,0.165582,0.253034,0.161087,0.0,3.292672,20.799999,3.297654,3.295968,3.29336,3.292649,0.001611,0.0
17728.373047,0.165749,2624.0,-0.161409,-0.168657,0.085139,0.333595,0.080544,0.0,3.292672,22.4,3.297654,3.295968,3.29336,3.293454,0.001611,0.0
17728.472656,0.165749,-896.0,-0.161409,-0.087953,0.165582,0.253034,0.0,0.0,3.292672,-6.4,3.297654,3.295968,3.29336,3.292649,0.000805,0.0
